Name,Pruned,RC,SMILES
10p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
11p,original,reactant,O=C(C=C)NC1=CC=C(N(C)C)C=C1
11p,original,intermediate,[H]c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H]
11p,original,product,[H]c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H]
11p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
11p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
11p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
12p,original,reactant,O=C(C=C)NC1=CC=C([N+]([O-])=O)C=C1
12p,original,intermediate,[H]c1c([H])c([N+](=O)[O-])c([H])c([H])c1N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H]
12p,original,product,[H]c1c([H])c([N+](=O)[O-])c([H])c([H])c1N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H]
12p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
12p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
12p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
